Movie Title
Inception
The Dark Knight
Interstellar
The Matrix
Fight Club
Pulp Fiction
Forrest Gump
The Shawshank Redemption
The Godfather
The Lord of the Rings: The Fellowship of the Ring
A Civil Action,1998,tt0120633,"Biography, Drama",6.6,"$56,709,981"
Action Jackson,1988,tt0094612,"Action, Comedy, Crime",5.6,"$20,256,975"
Action Point,2018,tt6495770,Comedy,5.1,"$5,059,608"
Missing in Action 2: The Beginning,1985,tt0089604,"Action, Drama, Thriller",5.3,"$10,755,447"
Young Adult,2011,tt1625346,"Comedy, Drama",6.3,"$16,311,571"
Adult Life Skills,2016,tt4211044,"Comedy, Drama",6.3,N/A
Adult Behavior,1999,tt0183992,Comedy,6.2,N/A
Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2012,tt2446192,Documentary,5.7,N/A
Adult Swim Yule Log,2022,tt24248198,"Comedy, Horror",6.3,N/A
Shin Chan: The Adult Empire Strikes Back,2001,tt0831848,"Animation, Action, Adventure",7.8,N/A
Bill,2015,tt2978576,"Comedy, Family, History",6.6,N/A
Zathura: A Space Adventure,2005,tt0406375,"Action, Adventure, Comedy",6.3,"$29,258,869"
Adventure Time,2010–2018,tt1305826,"Animation, Action, Adventure",8.6,N/A
Pee-wee's Big Adventure,1985,tt0089791,"Adventure, Comedy, Family",7.0,"$41,047,344"
The Poseidon Adventure,1972,tt0069113,"Action, Adventure, Drama",7.1,"$84,563,118"
JoJo's Bizarre Adventure,2012–,tt2359704,"Animation, Action, Adventure",8.5,N/A
Free Willy 2: The Adventure Home,1995,tt0113114,"Adventure, Drama, Family",5.1,"$30,077,111"
The Oogieloves in the Big Balloon Adventure,2012,tt1520498,"Adventure, Family, Fantasy",1.7,"$1,065,907"
Olaf's Frozen Adventure,2017,tt5452780,"Animation, Short, Adventure",5.7,N/A
Remo Williams: The Adventure Begins,1985,tt0089901,"Action, Adventure, Comedy",6.4,"$14,393,902"
Ping Pong the Animation,2014,tt3592032,"Animation, Drama, Sport",8.6,N/A
Wallace,2014,tt3256218,"Short, Comedy, Drama",8.1,N/A
Azumanga Daioh: The Animation,2002,tt0339955,"Animation, Comedy, Fantasy",8.2,N/A
Danganronpa: The Animation,2013,tt2902582,"Animation, Action, Crime",6.8,N/A
Supernatural: The Animation,2011,tt1679482,"Animation, Action, Adventure",7.3,N/A
Hunter x Hunter: Original Video Animation,2002,tt0435031,"Animation, Action, Adventure",8.7,N/A
Night of the Living Dead 3D: Re-Animation,2012,tt1879012,"Action, Comedy, Horror",3.0,N/A
Scott Pilgrim vs. the Animation,2010,tt1707823,"Animation, Short, Action",7.5,N/A
Sword Gai: The Animation,2018,tt7415066,"Animation, Action, Fantasy",5.8,N/A
Persona 4: The Animation,2011–2012,tt2387612,"Animation, Action, Adventure",7.5,N/A
Biography,1987–,tt0092322,"Documentary, Biography, History",7.7,N/A
Biography: WWE Legends,2021–,tt14403784,"Documentary, Biography, Sport",8.4,N/A
Biography: The Nine Lives of Ozzy Osbourne,2020,tt11723944,"Documentary, Biography, Music",7.7,N/A
"Orlando, My Political Biography",2023,tt26448981,Documentary,7.0,"$37,461"
Biography: KISStory,2021,tt14547008,"Documentary, Music",7.6,N/A
Biography of a Bachelor Girl,1935,tt0026117,"Comedy, Drama, Romance",6.1,N/A
Biography: I Want My MTV,2019,tt4571976,"Documentary, Music",7.0,N/A
Biography: Chris Farley - Anything for a Laugh,2019,tt10222674,Documentary,8.0,N/A
Kim Jong Un: The Unauthorized Biography,2017,tt5838396,"Documentary, Biography",6.7,N/A
Biography: The Trump Dynasty,2019,tt10013936,"Documentary, Biography, Crime",7.1,N/A
The King of Comedy,1982,tt0085794,"Comedy, Crime, Drama",7.8,"$2,536,242"
A Midsummer Night's Sex Comedy,1982,tt0084329,Comedy,6.6,"$9,077,269"
The Bugs Bunny/Looney Tunes Comedy Hour,1985–1986,tt0088491,"Animation, Family, Comedy",8.3,N/A
Fear City: A Family-Style Comedy,1994,tt0109440,"Comedy, Horror",7.5,N/A
